Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
17472,20806190248,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17473,20806190396,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17474,20806190397,man,"under the influence of drugs, narcotics","correct, appropriate",walking on the right side
17475,20806190403,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17476,20806190415,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17477,20806190451,man,"under the influence of drugs, narcotics","correct, appropriate",crossing at a marked crossing
17478,20806190463,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17479,20806190476,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17480,20806190547,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17481,20806190568,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17482,20806190577,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17483,20806190579,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17484,20806190588,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a parked vehicle
17485,20806190598,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17486,20806190619,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17487,20806190643,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
17488,20806190647,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
17489,20806190649,man,"physical disability (illness, nausea, reduced mobility, etc.)","correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17490,30041191087,man,good no adverse circumstances were found,"correct, appropriate",another situation
17491,30106190044,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17492,30106190063,child (up to 15 years),good no adverse circumstances were found,children playing on the road,Crossing outside the crossing (20 metres or more from the crossing)
17493,30106190117,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",crossing at a marked crossing
17494,30106190144,man,good no adverse circumstances were found,,walking on the wrong side
17495,30106190187,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17496,30106190205,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17497,30106190262,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17498,30106190331,man,not detected,,crossing at a marked crossing
17499,30106190374,Woman,good no adverse circumstances were found,,"walking, standing on the pavement"
17500,30106190403,child (up to 15 years),good no adverse circumstances were found,Side impact,Crossing outside the crossing (20 metres or more from the crossing)
17501,30106190453,Woman,good no adverse circumstances were found,,another situation
17502,30106190474,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17503,30106190499,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
17504,30406190002,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17505,30406190007,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17506,30406190017,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17507,30406190046,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17508,30406190055,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17509,30406190058,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17510,30406190066,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17511,30406190083,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
17512,30406190086,man,good no adverse circumstances were found,"correct, appropriate",another situation
17513,30406190087,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
17514,30406190131,Woman,good no adverse circumstances were found,"correct, appropriate",walking on the right side
17515,30406190142,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
17516,30406190170,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
17517,30406190176,man,good no adverse circumstances were found,,another situation
17518,30406190178,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
17519,30406190214,Woman,good no adverse circumstances were found,Side impact,crossing at a marked crossing
17520,30406190222,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
